"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","V1","Année","Autres informations","Carrosserie","Consommation mixte","Emissions de CO2","Energie","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","Garantie mécanique","Etat du véhicule"
"25","https://www.paruvendu.fr/a/voiture-occasion/mercedes/clk/1228156473A1KVVOMECLK",0,"Mercedes occasion","CLK","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Septembre 2003
Assurance auto : Comparez",NA,"Coupé",NA,NA,"Essence","142 944
km","2 portes",NA,"10 900 €","22
CV","306
Ch","Automatique",NA,NA
"26","https://www.paruvendu.fr/a/voiture-occasion/citroen/berlingo/1230190373A1KVVOCIBER",0,"Citroën occasion","Berlingo","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Août 2014
Assurance auto : Comparez",NA,NA,"5.2
litres / 100 km","133
g/km","Diesel","118 326
km","4 portes","2
places","7 600 €","5
CV","75
Ch","Manuelle",NA,NA
"27","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1228289538A1KVVOCIDS3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-cls/1230216279A1KVVOMECLS",0,"Mercedes occasion","Classe CLS","","
20 Boulevard des Rochereaux ZAC de Chauray79180 Chauray
","
MERCEDES NIORT - AUTOSPHERE
",NA,"2018
Assurance auto : Comparez",NA,"Berline",NA,NA,"Diesel","2 000
km","4 portes","5
places","82 500 €","18
CV","286
Ch","Automatique",NA,NA
"29","https://www.paruvendu.fr/a/voiture-occasion/ford/focus-c-max/1226224730A1KVVOFOCMX",0,"Ford occasion","Focus C-MAX","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Décembre 2014
Assurance auto : Comparez",NA,"Monospace",NA,NA,"Diesel","65 834
km","4 portes avec hayon",NA,"12 900 €","6
CV","115
Ch","Manuelle",NA,NA
"30","https://www.paruvendu.fr/a/voiture-occasion/nissan/juke/1230216277A1KVVONIJUK",0,"Nissan occasion","Juke","","
9 Boulevard Maurice Berteaux94100 Saint-Maur-des-Fossés
","
FORD SAINT MAUR DES FOSSES - AUTOSPHERE
",NA,"Janvier 2017
Assurance auto : Comparez",NA,"4x4 - SUV",NA,NA,"Essence","49 250
km","4 portes avec hayon","5
places","14 590 €","6
CV","115
Ch","Manuelle",NA,NA
"31","https://www.paruvendu.fr/a/voiture-occasion/nissan/note/1228289537A1KVVONINOT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","https://www.paruvendu.fr/a/voiture-occasion/fiat/500-x/1230216276A1KVVOFI50X",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1230216275A1KVVOPE3M8",0,"Peugeot occasion","3008","","
9 Boulevard Maurice Berteaux94100 Saint-Maur-des-Fossés
","
FORD SAINT MAUR DES FOSSES - AUTOSPHERE
",NA,"2017
Assurance auto : Comparez",NA,"4x4 - SUV",NA,NA,"Diesel","25 550
km","4 portes avec hayon","5
places","27 490 €","6
CV","120
Ch","Automatique",NA,NA
"34","https://www.paruvendu.fr/a/voiture-occasion/renault/clio/1230216274A1KVVORECLI",0,"Renault occasion","Clio","","
222 Avenue Aristide Briand RN 2092200 Neuilly-sur-Seine
","
FORD BAGNEUX - AUTOSPHERE
",NA,"Juin 2016
Assurance auto : Comparez",NA,"Berline",NA,NA,"Essence","65 988
km","4 portes avec hayon","5
places","11 490 €","5
CV","90
Ch","Manuelle",NA,NA
"35","https://www.paruvendu.fr/a/voiture-occasion/ford/focus-c-max/1230216273A1KVVOFOCMX",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1224465523A1KVVOCIC3",0,"Citroën occasion","C3","","
Village AutomobileAvenue de la Bouriette09100 Pamiers
","
GROUPE GRAU
","","Décembre 2016
Assurance auto : Comparez","Première main","Berline","3.7
litres / 100 km","95
g/km","Diesel","6 869
km","4 portes avec hayon","5
places","12 900 €","5
CV","99
Ch","Manuelle",NA,NA
"37","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1230190370A1KVVOCIDS3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1226654337A1KVVOCIC3",0,"Citroën occasion","C3","","
1 Bis Boulevard de l'Europe28500 Vernouillet
","
CITROEN DREUX - LHERMITE AUTOMOBILES CHARTRES
",NA,"Mai 2017
Assurance auto : Comparez",NA,"Berline",NA,"95
g/km","Diesel","46 049
km","4 portes avec hayon","5
places","10 990 €","5
CV","99
Ch","Manuelle","Citroën Select 12 mois",NA
"39","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1226654336A1KVVOCIC3",0,"Citroën occasion","C3","","
1 Bis Boulevard de l'Europe28500 Vernouillet
","
CITROEN DREUX - LHERMITE AUTOMOBILES CHARTRES
",NA,"Mai 2017
Assurance auto : Comparez",NA,"Berline",NA,"95
g/km","Diesel","43 722
km","4 portes avec hayon","5
places","11 590 €","5
CV","99
Ch","Manuelle","Citroën Select 12 mois",NA
"40","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1226492795A1KVVOCIC3",0,"Citroën occasion","C3","","
1 Bis Boulevard de l'Europe28500 Vernouillet
","
CITROEN DREUX - LHERMITE AUTOMOBILES CHARTRES
",NA,"Avril 2017
Assurance auto : Comparez",NA,"Berline",NA,"109
g/km","Essence","25 721
km","4 portes avec hayon","5
places","11 590 €","4
CV","82
Ch","Manuelle","Citroën Select 12 mois",NA
"41","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1224260049A1KVVOCIDS3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1227571295A1KVVOCIDS3",0,"Citroën occasion","DS3","","
1 Bis Boulevard de l'Europe28500 Vernouillet
","
CITROEN DREUX - LHERMITE AUTOMOBILES CHARTRES
",NA,"Avril 2017
Assurance auto : Comparez",NA,"Berline",NA,"87
g/km","Diesel","32 507
km","2 portes avec hayon","5
places","13 990 €","5
CV","99
Ch","Manuelle","Citroën Select 12 mois",NA
"43","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-picasso/1226548549A1KVVOCIC4P",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","https://www.paruvendu.fr/a/voiture-occasion/seat/altea-xl/1229697685A1KVVOSEALX",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","https://www.paruvendu.fr/a/voiture-occasion/nissan/juke/1228574333A1KVVONIJUK",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","https://www.paruvendu.fr/a/voiture-occasion/nissan/qashqai/1229072912A1KVVONIQAS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","https://www.paruvendu.fr/a/voiture-occasion/nissan/qashqai/1228531339A1KVVONIQAS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","https://www.paruvendu.fr/a/voiture-occasion/nissan/x-trail/1229072914A1KVVONIXTR",0,"Nissan occasion","X-Trail","","
13 Bis Avenue du Val de l'Eure28630 Fontenay-sur-Eure
","
NISSAN CHARTRES - LAMIRAULT GIRAUD ASSOCIES
","","Avril 2017
Assurance auto : Comparez",NA,"Break",NA,"143
g/km","Diesel","41 851
km","4 portes avec hayon","7
places","24 500 €","7
CV","130
Ch","Manuelle",NA,NA
"49","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1229736369A1KVVOCIC3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds4/1222158752A1KVVOCIDS4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","https://www.paruvendu.fr/a/voiture-occasion/opel/corsa/1230216272A1KVVOOPCOR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","https://www.paruvendu.fr/a/voiture-occasion/nissan/juke/1230216271A1KVVONIJUK",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","https://www.paruvendu.fr/a/voiture-occasion/citroen/c1/1230216269A1KVVOCIC1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","https://www.paruvendu.fr/a/voiture-occasion/audi/q5/1230216268A1KVVOAUQ5",0,"Audi occasion","Q5","","
118 Route de Taninges74100 Annemasse
","
CITROEN ANNEMASSE - AUTOSPHERE
",NA,"Juillet 2013
Assurance auto : Comparez",NA,"4x4 - SUV",NA,NA,"Diesel","147 330
km","4 portes avec hayon","5
places","18 990 €","10
CV","177
Ch","Automatique",NA,NA
"55","https://www.paruvendu.fr/a/voiture-occasion/renault/talisman/1230216264A1KVVORETAL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","https://www.paruvendu.fr/a/voiture-occasion/renault/kadjar/1230189490A1KVVOREKAD",0,"Renault occasion","Kadjar","","
ZI Le Parquet73300 Saint-Jean-de-Maurienne
","
RENAULT MAURIENNE - AUTOSPHERE
",NA,"Septembre 2018
Assurance auto : Comparez",NA,"4x4 - SUV","4.9
litres / 100 km","129
g/km","Diesel","10
km","4 portes avec hayon","5
places","28 290 €","7
CV","130
Ch","Manuelle",NA,NA
"57","https://www.paruvendu.fr/a/voiture-occasion/opel/zafira/1230216261A1KVVOOPZAF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","https://www.paruvendu.fr/a/voiture-occasion/chevrolet/aveo/1230216259A1KVVOCVAVE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","https://www.paruvendu.fr/a/voiture-occasion/opel/corsa/1230216258A1KVVOOPCOR",0,"Opel occasion","Corsa","","
RUE DE LA FOSSE AU BOSSU27930 ANGERVILLE LA CAMPAGNE
","
AUTOMOBILES DE LA MADELEINE
",NA,"2015
Assurance auto : Comparez",NA,"Berline",NA,NA,"Essence","67 884
km","5",NA,"9 490 €",NA,NA,NA,NA,NA
"60","https://www.paruvendu.fr/a/voiture-occasion/audi/a4/1230216257A1KVVOAUA4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","https://www.paruvendu.fr/a/voiture-occasion/renault/twingo/1230216249A1KVVORETWI",0,"Renault occasion","Twingo","","
1230 Boulevard Albert Schweitzer62110 Hénin-Beaumont
","
RENAULT HENIN BEAUMONT - AUTOSPHERE
",NA,"Juin 2017
Assurance auto : Comparez",NA,"Berline",NA,NA,"Essence","9 876
km","4 portes avec hayon","4
places","9 990 €","4
CV","69
Ch","Manuelle",NA,NA
"62","https://www.paruvendu.fr/a/voiture-occasion/renault/scenic-iii/1230161897A1KVVORESC3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","https://www.paruvendu.fr/a/voiture-occasion/peugeot/508-sw/1230108270A1KVVOPE5SW",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","https://www.paruvendu.fr/a/voiture-occasion/dacia/duster/1230216248A1KVVODCDUS",0,"Dacia occasion","Duster","","
100 Route Nationale62114 Sains-en-Gohelle
","
RENAULT NOEUX LES MINES - AUTOSPHERE
",NA,"Septembre 2018
Assurance auto : Comparez",NA,"4x4 - SUV",NA,NA,"Diesel","100
km","4 portes avec hayon","5
places","18 890 €","6
CV","116
Ch","Manuelle",NA,NA
"65","https://www.paruvendu.fr/a/voiture-occasion/renault/twingo/1230216246A1KVVORETWI",0,"Renault occasion","Twingo","","
100 Route Nationale62114 Sains-en-Gohelle
","
RENAULT NOEUX LES MINES - AUTOSPHERE
",NA,"Octobre 2010
Assurance auto : Comparez",NA,"Berline",NA,NA,"Diesel","94 398
km","2 portes avec hayon","4
places","5 990 €","4
CV","85
Ch","Manuelle",NA,NA
"66","https://www.paruvendu.fr/a/voiture-occasion/renault/koleos/1230216244A1KVVOREKOL",0,"Renault occasion","Koleos","","
50 Route de Lille62218 Loison-sous-Lens
","
RENAULT LENS - AUTOSPHERE
",NA,"Octobre 2017
Assurance auto : Comparez",NA,"4x4 - SUV",NA,NA,"Diesel","10
km","4 portes avec hayon","5
places","33 990 €","10
CV","177
Ch","Automatique",NA,NA
"67","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/polo/1230216243A1KVVOVWPOL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","https://www.paruvendu.fr/a/voiture-occasion/mini/mini-coupe/1230216242A1KVVOMCCOU",0,"Mini occasion","MINI COUPE","","
286 ROUTE DE LILLE62660 BEUVRY
","
EASYCAR CENTER
",NA,"2007
Assurance auto : Comparez",NA,"Berline",NA,NA,"Essence","128 776
km","2 portes avec hayon",NA,"6 990 €","7
CV",NA,"Automatique",NA,NA
"69","https://www.paruvendu.fr/a/voiture-occasion/renault/clio/1230216241A1KVVORECLI",0,"Renault occasion","Clio","","
50 Route de Lille62218 Loison-sous-Lens
","
RENAULT LENS - AUTOSPHERE
",NA,"Septembre 2017
Assurance auto : Comparez",NA,"Berline",NA,NA,"Diesel","17 191
km","4 portes avec hayon","5
places","11 990 €","4
CV","75
Ch","Manuelle",NA,NA
"70","https://www.paruvendu.fr/a/voiture-occasion/renault/clio/1230216240A1KVVORECLI",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","https://www.paruvendu.fr/a/voiture-occasion/renault/clio/1230216239A1KVVORECLI",0,"Renault occasion","Clio","","
50 Route de Lille62218 Loison-sous-Lens
","
RENAULT LENS - AUTOSPHERE
",NA,"Février 2017
Assurance auto : Comparez",NA,"Berline",NA,NA,"Diesel","29 328
km","4 portes avec hayon","5
places","11 990 €","4
CV","75
Ch","Manuelle",NA,NA
"72","https://www.paruvendu.fr/a/voiture-occasion/renault/zoe/1230216237A1KVVOREZOE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","https://www.paruvendu.fr/a/voiture-occasion/renault/scenic/1230216236A1KVVORESCE",0,"Renault occasion","Scénic","","
223 Rue Notre Dame59190 Hazebrouck
","
RENAULT HAZEBROUCK - AUTOSPHERE
",NA,"Mars 2014
Assurance auto : Comparez",NA,"Monospace",NA,NA,"Diesel","116 743
km","4 portes avec hayon","5
places","9 490 €","6
CV","110
Ch","Automatique",NA,NA
"74","https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1230216233A1KVVODCSAN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","https://www.paruvendu.fr/a/voiture-occasion/renault/talisman/1230029803A1KVVORETAL",0,"Renault occasion","Talisman","","
3 Rue Du Hem Prolongee Centre Commercial Englos Les Geants59320 Sequedin
","
RENAULT ENGLOS - AUTOSPHERE
",NA,"Janvier 2016
Assurance auto : Comparez",NA,"Berline",NA,NA,"Diesel","51 616
km","4 portes","5
places","23 490 €","8
CV","160
Ch","Automatique",NA,NA
"76","https://www.paruvendu.fr/a/voiture-occasion/hyundai/tucson/1230216221A1KVVOHYTUC",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1230216220A1KVVODCSAN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","https://www.paruvendu.fr/a/voiture-occasion/renault/twingo/1230216216A1KVVORETWI",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","https://www.paruvendu.fr/a/voiture-occasion/renault/clio/1230216214A1KVVORECLI",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","https://www.paruvendu.fr/a/voiture-occasion/opel/corsa/1230216213A1KVVOOPCOR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","https://www.paruvendu.fr/a/voiture-occasion/renault/scenic/1230216207A1KVVORESCE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","https://www.paruvendu.fr/a/voiture-occasion/renault/zoe/1229735529A1KVVOREZOE",0,"Renault occasion","Zoé","","
Avenue Pierre Mendès France02000 Laon
","
RENAULT LAON - AUTOSPHERE
",NA,"Février 2015
Assurance auto : Comparez",NA,"Berline",NA,NA,"Electrique","57 683
km","4 portes avec hayon","5
places","8 800 €","1
CV","88
Ch","Automatique",NA,NA
"83","https://www.paruvendu.fr/a/voiture-occasion/renault/grand-scenic-iii/1230216206A1KVVOREGS3",0,"Renault occasion","Grand Scénic III","","
Avenue Pierre Mendès France02000 Laon
","
RENAULT LAON - AUTOSPHERE
",NA,"Septembre 2014
Assurance auto : Comparez",NA,"Monospace","4.6
litres / 100 km","118
g/km","Diesel","79 977
km","4 portes avec hayon","7
places","14 690 €","7
CV","130
Ch","Manuelle",NA,NA
"84","https://www.paruvendu.fr/a/voiture-occasion/citroen/c5/1230216205A1KVVOCIC5",0,"Citroën occasion","C5","","
Avenue Pierre Mendès France02000 Laon
","
RENAULT LAON - AUTOSPHERE
",NA,"Août 2014
Assurance auto : Comparez",NA,"Berline",NA,NA,"Diesel","71 276
km","4 portes","5
places","12 990 €","9
CV","163
Ch","Manuelle",NA,NA
